porcentaje,importancia,trimestre,ciudad
0.540838353961888,4.98190148549221,Q1,Segovia
0.571047441442717,3.97017023173339,Q2,Segovia
0.394336017608995,4.80201138459012,Q3,Segovia
0.893983510516208,2.77707952237265,Q4,Segovia
0.926770868169537,4.32550028034786,Q1,Burgos
0.546121690007365,4.15983751161194,Q2,Burgos
0.229392264626919,4.72894653737126,Q3,Burgos
0.873843726792595,3.11972030843642,Q4,Burgos
0.546632072034647,4.59030124704451,Q1,León
0.178996795038987,3.04145715837001,Q2,León
0.490685519074792,3.93208140297763,Q3,León
0.857284837728289,4.57403843653215,Q4,León
0.141946328298871,3.77910893306558,Q1,Segovia
0.327840380449063,2.53583231807369,Q3,Burgos
