porcentaje,importancia,trimestre,ciudad
0.968496601643091,3.44445864843911,Q1,Segovia
0.975269287802128,3.12525792301971,Q2,Segovia
0.189467668370418,4.22880837050223,Q3,Segovia
0.731569721761768,2.50570500999353,Q4,Segovia
0.775552323351669,3.15525616335488,Q1,Burgos
0.918959595623878,2.68264196779249,Q2,Burgos
0.295963161811079,3.10181205823482,Q3,Burgos
0.567642234497453,3.66337914473363,Q4,Burgos
0.359173653736559,3.33615293641453,Q1,León
0.572190193889924,2.82083914462439,Q2,León
0.880118163375751,3.76286520624604,Q3,León
0.296312872210084,3.9313512476461,Q4,León
